SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-06,34,13.7
Abandoned Vehicle Complaint,2019-06,35,21.8
Abandoned Vehicle Complaint,2019-06,36,20.4
Abandoned Vehicle Complaint,2019-06,37,13.8
Abandoned Vehicle Complaint,2019-06,38,11.4
Abandoned Vehicle Complaint,2019-06,39,17.7
Abandoned Vehicle Complaint,2019-06,40,2.4
Abandoned Vehicle Complaint,2019-06,41,14.0
Abandoned Vehicle Complaint,2019-06,42,12.1
Abandoned Vehicle Complaint,2019-06,43,19.9
Abandoned Vehicle Complaint,2019-06,44,15.9
Abandoned Vehicle Complaint,2019-06,45,19.9
Abandoned Vehicle Complaint,2019-06,46,9.8
Abandoned Vehicle Complaint,2019-06,47,12.6
Abandoned Vehicle Complaint,2019-06,48,9.5
Abandoned Vehicle Complaint,2019-06,49,12.8
Abandoned Vehicle Complaint,2019-06,50,11.8
Abandoned Vehicle Complaint,2019-06,51,12.3
Abandoned Vehicle Complaint,2019-06,52,18.9
Abandoned Vehicle Complaint,2019-06,53,16.8
Abandoned Vehicle Complaint,2019-06,54,15.0
Abandoned Vehicle Complaint,2019-06,55,12.1
Abandoned Vehicle Complaint,2019-06,56,11.9
Abandoned Vehicle Complaint,2019-06,57,11.3
Abandoned Vehicle Complaint,2019-06,58,13.0
Abandoned Vehicle Complaint,2019-06,59,12.4
Abandoned Vehicle Complaint,2019-06,60,10.9
Abandoned Vehicle Complaint,2019-06,61,13.5
Abandoned Vehicle Complaint,2019-06,62,11.8
Abandoned Vehicle Complaint,2019-06,63,18.8
Abandoned Vehicle Complaint,2019-06,64,12.0
Abandoned Vehicle Complaint,2019-06,65,14.5
Abandoned Vehicle Complaint,2019-06,66,23.4
Abandoned Vehicle Complaint,2019-06,67,10.7
Abandoned Vehicle Complaint,2019-06,68,18.6
Abandoned Vehicle Complaint,2019-06,69,14.3
Abandoned Vehicle Complaint,2019-06,70,24.9
Abandoned Vehicle Complaint,2019-06,71,12.0
Abandoned Vehicle Complaint,2019-06,72,12.5
Abandoned Vehicle Complaint,2019-06,73,16.0
Abandoned Vehicle Complaint,2019-06,74,64.3
Abandoned Vehicle Complaint,2019-06,75,7.8
Abandoned Vehicle Complaint,2019-06,76,6.3
Abandoned Vehicle Complaint,2019-06,77,13.1
Abandoned Vehicle Complaint,2019-07,1,9.8
Abandoned Vehicle Complaint,2019-07,2,11.1
Abandoned Vehicle Complaint,2019-07,3,10.9
Abandoned Vehicle Complaint,2019-07,4,18.5
Abandoned Vehicle Complaint,2019-07,5,12.8
Abandoned Vehicle Complaint,2019-07,6,13.1
Abandoned Vehicle Complaint,2019-07,7,29.7
Abandoned Vehicle Complaint,2019-07,8,9.6
Abandoned Vehicle Complaint,2019-07,9,3.7
Abandoned Vehicle Complaint,2019-07,10,12.1
Abandoned Vehicle Complaint,2019-07,11,10.4
Abandoned Vehicle Complaint,2019-07,12,12.1
Abandoned Vehicle Complaint,2019-07,13,11.0
Abandoned Vehicle Complaint,2019-07,14,14.2
Abandoned Vehicle Complaint,2019-07,15,15.0
Abandoned Vehicle Complaint,2019-07,16,10.9
Abandoned Vehicle Complaint,2019-07,17,7.7
Abandoned Vehicle Complaint,2019-07,18,8.4
Abandoned Vehicle Complaint,2019-07,19,15.8
Abandoned Vehicle Complaint,2019-07,20,8.7
Abandoned Vehicle Complaint,2019-07,21,11.7
Abandoned Vehicle Complaint,2019-07,22,12.0
Abandoned Vehicle Complaint,2019-07,23,5.5
Abandoned Vehicle Complaint,2019-07,24,15.0
Abandoned Vehicle Complaint,2019-07,25,10.0
Abandoned Vehicle Complaint,2019-07,26,5.9
Abandoned Vehicle Complaint,2019-07,27,8.6
Abandoned Vehicle Complaint,2019-07,28,6.4
Abandoned Vehicle Complaint,2019-07,29,15.7
Abandoned Vehicle Complaint,2019-07,30,14.9
Abandoned Vehicle Complaint,2019-07,31,26.9
Abandoned Vehicle Complaint,2019-07,32,11.2
Abandoned Vehicle Complaint,2019-07,33,12.3
Abandoned Vehicle Complaint,2019-07,34,20.4
Abandoned Vehicle Complaint,2019-07,35,11.7
Abandoned Vehicle Complaint,2019-07,36,21.3
Abandoned Vehicle Complaint,2019-07,37,10.2
Abandoned Vehicle Complaint,2019-07,38,13.6
Abandoned Vehicle Complaint,2019-07,39,15.9
Abandoned Vehicle Complaint,2019-07,40,11.0
Abandoned Vehicle Complaint,2019-07,41,17.1
Abandoned Vehicle Complaint,2019-07,42,12.7
Abandoned Vehicle Complaint,2019-07,43,16.4
Abandoned Vehicle Complaint,2019-07,44,18.8
Abandoned Vehicle Complaint,2019-07,45,13.8
Abandoned Vehicle Complaint,2019-07,46,13.2
Abandoned Vehicle Complaint,2019-07,47,42.0
Abandoned Vehicle Complaint,2019-07,48,15.7
Abandoned Vehicle Complaint,2019-07,49,12.3
Abandoned Vehicle Complaint,2019-07,50,12.1
Abandoned Vehicle Complaint,2019-07,51,16.3
Abandoned Vehicle Complaint,2019-07,52,14.3
Abandoned Vehicle Complaint,2019-07,53,13.8
Abandoned Vehicle Complaint,2019-07,54,14.9
Abandoned Vehicle Complaint,2019-07,55,12.7
Abandoned Vehicle Complaint,2019-07,56,17.6
Abandoned Vehicle Complaint,2019-07,57,15.3
Abandoned Vehicle Complaint,2019-07,58,14.9
Abandoned Vehicle Complaint,2019-07,59,19.3
